-42,98
100,-84
-14,-27
-94,60
87,56
-36,-54
2,31
57,-33
-11,60
-83,-11
-33,18
-40,-62
-49,97
-20,62
33,80
-49,99
72,29
-95,67
80,89
-53,75
-51,100
-91,-62
30,16
-50,-82
59,-41
-73,-15
96,79
6,16
20,-78
91,-22
52,53
39,10
-69,-22
-90,33
12,-16
-44,20
-54,-50
-87,74
70,46
66,-71
-7,84
-11,38
29,-11
98,-42
95,-44
-35,93
-28,-37
-40,80
33,-2
-98,23
-57,-86
-43,-33
19,-19
28,-55
99,-45
64,-42
99,59
-32,92
100,-85
96,-62
10,22
40,55
35,50
-71,58
90,91
41,-93
-25,-48
47,-19
-96,95
79,39
-1,8
82,-65
-90,66
-94,-26
-48,63
-78,-84
22,-85
-79,-11
-6,11
13,82
48,-6
42,85
100,33
-21,-74
-28,-48
48,-68
-11,-74
-74,2
-38,6
8,21
-50,81
-16,49
6,-51
-14,-76
-86,-14
-54,88
50,-3
5,18
56,-74
-3,54
